Version,File,Width,Height,Compression,Transparency,Colorspace,Bytes
Detailed,Door_Texture.dds,512,512,None,Blend,srgba,1048704
Original,Door_Texture.dds,512,512,DXT5,Blend,srgba,349680

Detailed,door_n.dds,512,512,None,Blend,srgba,1048704
Original,door_n.dds,512,512,DXT1,Undefined,srgb,174904

Detailed,FireAnt-AutoTurret_DIF.dds,2048,2048,None,Blend,srgba,16777344
Compressed,FireAnt-AutoTurret_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,FireAnt-AutoTurret_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,HarpoonLight_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,HarpoonLight_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Crossbow Turret_Diff_HI.dds,2048,2048,None,Blend,srgba,16777344
Compressed,Crossbow Turret_Diff_HI.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,Crossbow Turret_Diff_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,FireAnt-AutoTurret_MET.dds,2048,2048,None,Blend,srgba,16777344
Compressed,FireAnt-AutoTurret_MET.dds,1024,1024,DXT1,Undefined,srgb,699192
