Version,File,Width,Height,Compression,Transparency,Colorspace,Bytes
Original,wall02.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,wall_sandstone.dds,1536,1536,None,Blend,srgba,9437312
Original,wall_sandstone.dds,1536,1536,DXT5,Blend,srgba,3145904

Detailed,window_HI.dds,256,256,None,Blend,srgba,262272
Original,window_HI.dds,256,256,DXT5,Blend,srgba,87536

Detailed,Metal_Wall-House_DIF_HI.dds,4096,4096,None,Blend,srgba,67108992
Original,Metal_Wall-House_DIF_HI.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,farm01.dds,2048,512,None,Blend,srgba,4194432
Original,farm01.dds,2048,512,DXT5,Blend,srgba,1398288

Detailed,automine_d.dds,4096,4096,None,Blend,srgba,67108992
Original,automine_d.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,Battery_D.dds,1024,1024,None,Blend,srgba,4194432
Original,Battery_D.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,canteen01_d.dds,512,512,None,Blend,srgba,1048704
Original,canteen01_d.dds,512,512,DXT5,Blend,srgba,349680

Detailed,corpse_furnace_diffuse_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,corpse_furnace_diffuse_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Foundry_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Foundry_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Fparheldt_d.dds,1024,1024,None,Blend,srgba,4194432
Original,Fparheldt_d.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Generator_D_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Generator_D_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,rumstill_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,rumstill_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,sacks_d.dds,1024,1024,None,Blend,srgba,4194432
Original,sacks_d.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,silo_a_dif_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,silo_a_dif_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,StoneMine_Diff.dds,4096,4096,None,Blend,srgba,67108992
Original,StoneMine_Diff.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,storagetank01_diffuse_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,storagetank01_diffuse_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Tdrive_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Tdrive_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,TdriveN_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,TdriveN_HI.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,toweratlas_HI.dds,1024,2048,None,Blend,srgba,8388736
Original,toweratlas_HI.dds,1024,2048,DXT5,Blend,srgba,2796368

Detailed,market _d.dds,4096,2048,None,Blend,srgba,33554560
Original,market _d.dds,4096,2048,DXT5,Blend,srgba,11184976

Detailed,watertower.dds,1024,1024,None,Blend,srgba,4194432
Original,watertower.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,stones.dds,1024,1024,None,Blend,srgba,4194432
Original,stones.dds,1024,1024,DXT5,Blend,srgba,1048704

Detailed,wall1.dds,1024,1024,None,Blend,srgba,4194432
Original,wall1.dds,1024,1024,DXT1,Blend,srgba,699192

Detailed,Crossbow Turret_Diff_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Crossbow Turret_Diff_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,FireAnt-AutoTurret_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,FireAnt-AutoTurret_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,FireAnt-AutoTurret_MET.dds,2048,2048,None,Blend,srgba,16777344
Original,FireAnt-AutoTurret_MET.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,HarpoonLight_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,HarpoonLight_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Turret_Diff.dds,2048,2048,None,Blend,srgba,16777344
Original,Turret_Diff.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Gate2_Diff.dds,2048,2048,None,Blend,srgba,16777344
Original,Gate2_Diff.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Gate4_Diff.dds,4096,4096,None,Blend,srgba,67108992
Original,Gate4_Diff.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,Gate5_DIF.dds,4096,4096,None,Blend,srgba,67108992
Original,Gate5_DIF.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,Wall2_Diff.dds,2048,1024,None,Blend,srgba,8388736
Original,Wall2_Diff.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,Wall3_D.dds,4096,4096,None,Blend,srgba,67108992
Original,Wall3_D.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,Wall3Tower_DIF.dds,4096,2048,None,Blend,srgba,33554560
Original,Wall3Tower_DIF.dds,4096,2048,DXT5,Blend,srgba,11184976

Detailed,Wall4_Diff.dds,4096,4096,None,Blend,srgba,67108992
Original,Wall4_Diff.dds,4096,4096,DXT5,Blend,srgba,22369776

